,Correlacao
V00612,-0.06262211698062578
V00199,-0.06272443154346521
V00001,-0.06290806882513524
V00004,-0.06290806882513524
V00316_idx,-0.06333785709633312
V00508,-0.0633794837534929
V00508_idx,-0.06411374222832529
V00540,-0.06493562684251844
V00117,-0.06509941322504241
V00005,-0.06512390185056789
V00129,-0.06645410812548831
V00119,-0.06781396726421166
V00466_idx,-0.06845462889644406
V00047,-0.07019163292830395
V00134_idx,-0.07035250264720977
V00128_idx,-0.07075950017561024
V00052_idx,-0.07340040174597245
V00464_idx,-0.07373711786280619
V00514,-0.0742787994769707
V00587,-0.07439215844142788
V00463,-0.0749002753182416
V00052,-0.0749745357009877
V00316,-0.07840674826857465
V00312_idx,-0.0785123963792706
V00127,-0.0789284064959765
V00398,-0.07901312115454832
V00613,-0.08059096397323731
V00048,-0.08111097019710337
V00124_idx,-0.0825801733541004
V00637_idx,-0.08299008954790445
V00130,-0.08311400297271629
V00402,-0.08327948382989303
V00587_idx,-0.08464288657776038
V00116_idx,-0.0846632723393864
V00636,-0.0858635247840929
V00468_idx,-0.08590585994358449
V00617,-0.08621710575508039
V00638,-0.08738200856068513
V00583_idx,-0.08801275502072571
V00112,-0.08967948860455675
V00125_idx,-0.09236059500108132
V00124,-0.09303003626352063
V00117_idx,-0.09418914095356141
V00116,-0.0952085676438977
V00581,-0.09592447371195674
V00310,-0.0973203944043605
V00130_idx,-0.09814909208669985
V00050_idx,-0.10012302683794878
V00509,-0.10256028548352816
V00513,-0.10305968307634819
V00313,-0.10575798739585504
V00584,-0.10740326240155373
V00514_idx,-0.10836926556684219
V00468,-0.11114215321735893
V00123_idx,-0.11316470184112795
V00541,-0.11603125782455886
V00115_idx,-0.11656845757785984
V00200,-0.11975414134410235
V00512_idx,-0.12018373413461295
V00120,-0.12055850996800314
V00126_idx,-0.12113915439128194
V00123,-0.12139277687641478
V00115,-0.12323420457774421
V00201,-0.12641884498733139
V00542,-0.12779323676152546
V00512,-0.12954272617920243
V00118_idx,-0.1297042533964305
V00465,-0.13025594042932395
V00201_idx,-0.13635112116398293
V00315_idx,-0.15412013457450854
V00513_idx,-0.15520318843066525
V00542_idx,-0.1573481206272673
V00639_idx,-0.15778466211463282
V00127_idx,-0.16162091906860435
V00113,-0.162038306578706
V00510,-0.1629016338874544
V00121,-0.1631383999983465
V00515_idx,-0.16335702788842701
V00048_idx,-0.17322042571840565
V00313_idx,-0.176148844501881
V00311_idx,-0.1774870569366092
V00121_idx,-0.17855530611304773
V00582,-0.17867871704032282
V00113_idx,-0.17910775394327816
V00311,-0.18138579892702966
V00510_idx,-0.18359481143280965
V00639,-0.1846598398369867
V00586_idx,-0.18574054248473243
V00583,-0.18785812756861495
V00582_idx,-0.18808863534309014
V00613_idx,-0.18929306343544303
V00398_idx,-0.18969403459738524
V00312,-0.19186934694005217
V00049_idx,-0.19250660682660717
V00135_idx,-0.1929687077067997
V00584_idx,-0.19310488813950694
V00637,-0.1947618624191001
V00464,-0.19600478227895282
V00466,-0.19677807212943063
V00511,-0.19870217944437985
V00114,-0.20132938609287596
V00122,-0.2027543364083572
V00314_idx,-0.22547806797767272
V00585_idx,-0.23331192370069612
V00122_idx,-0.23725171253008842
V00114_idx,-0.23773794850218513
V00511_idx,-0.24009113332472826
V00540_idx,-0.3220368012142505
V00005_idx,-0.35458312293737226
