Variavel,R2
V00463_idx,0.0001254376872192875
V00464_idx,0.005437162550713137
V00465_idx,2.5914408462113236e-05
V00466_idx,0.004686036217349754
V00467_idx,0.0022558749133472222
V00468_idx,0.007379816772646652
V00469_idx,0.0005313391961542235
V00470_idx,0.0014735165008664675
V00508_idx,0.004110571942520069
V00509_idx,0.055503726324586555
V00510_idx,0.03370705478504876
V00511_idx,0.05764375230115226
V00512_idx,0.01444412995053923
V00513_idx,0.024088029699044444
V00514_idx,0.011743897719496688
V00515_idx,0.026685518560540356
V00540_idx,0.10370770133630625
V00541_idx,0.0035369305265935402
V00542_idx,0.024758431064932807
V00580_idx,0.0083091444657174
V00581_idx,0.003353705823249342
V00582_idx,0.035377334745225975
V00583_idx,0.0077462450463382515
V00584_idx,0.03728949782337143
V00585_idx,0.054434453740919486
V00586_idx,0.03449954912252251
V00587_idx,0.007164418248215565
V00612_idx,0.00055664466615446
V00613_idx,0.03583186386477455
V00614_idx,0.03428949046485019
V00615_idx,0.058038872325954505
V00616_idx,0.025800225505196894
V00617_idx,0.008358668054034957
V00636_idx,0.00017134963635467848
V00637_idx,0.006887354963169168
V00638_idx,0.0024760432454391523
V00639_idx,0.02489599959862876
