CD_MUN,NM_MUN_x,Total_notificados__43,Total_confirmados_autóctones,Total_confirmados_importados,Total_confirmados_anual
3527306,Louveira,405,108,11,119
3527405,Lucélia,399,212,0,212
3527504,Lucianópolis,53,46,5,51
3527603,Luís Antônio,767,631,6,637
3527702,Luiziânia,391,334,0,334
3527801,Lupércio,69,39,0,39
3527900,Lutécia,429,253,0,253
3528007,Macatuba,89,65,11,76
3528106,Macaubal,185,78,5,83
3528205,Macedônia,126,73,5,78
3528304,Magda,292,111,1,112
3528403,Mairinque,79,7,3,10
3528502,Mairiporã,486,29,13,42
3528601,Manduri,35,2,3,5
3528700,Marabá Paulista,535,275,1,276
3528809,Maracaí,83,19,2,21
3528858,Marapoama,81,48,1,49
3528908,Mariápolis,280,139,2,141
3529005,Marília,3469,1042,18,1060
3529104,Marinópolis,208,201,0,201
3529203,Martinópolis,1891,1492,22,1514
3529302,Matão,3557,2584,27,2611
3529401,Mauá,511,61,29,90
3529500,Mendonça,839,461,18,479
3529609,Meridiano,163,121,6,127
3529658,Mesópolis,100,59,1,60
3529708,Miguelópolis,11,5,0,5
3529807,Mineiros do Tietê,149,62,5,67
3529906,Miracatu,64,14,0,14
3530003,Mira Estrela,241,140,5,145
3530102,Mirandópolis,769,602,0,602
3530201,Mirante do Paranapanema,416,158,8,166
3530300,Mirassol,2447,1362,0,1362
3530409,Mirassolândia,57,12,1,13
3530508,Mococa,143,24,0,24
3530607,Mogi das Cruzes,476,57,42,99
3530706,Mogi Guaçu,3709,2157,7,2164
3530805,Mogi Mirim,1807,148,3,151
3530904,Mombuca,18,2,1,3
3531001,Monções,272,249,3,252
3531100,Mongaguá,54,15,0,15
3531209,Monte Alegre do Sul,32,2,1,3
3531308,Monte Alto,1613,1528,2,1530
3531407,Monte Aprazível,1459,662,43,705
3531506,Monte Azul Paulista,428,128,1,129
3531605,Monte Castelo,628,460,3,463
3531704,Monteiro Lobato,15,2,2,4
3531803,Monte Mor,246,69,2,71
3531902,Morro Agudo,1479,936,7,943
3532009,Morungaba,36,2,0,2
3532058,Motuca,438,351,1,352
3532108,Murutinga do Sul,276,244,2,246
3532157,Nantes,38,7,0,7
3532207,Narandiba,325,78,2,80
3532306,Natividade da Serra,27,0,0,0
3532405,Nazaré Paulista,25,6,0,6
3532504,Neves Paulista,496,437,4,441
3532603,Nhandeara,655,622,4,626
