CD_REGIAO,NM_REGIAO,CD_UF,NM_UF,CD_MUN,NM_MUN,Total_setores,População
3,Sudeste,35,São Paulo,3519402,Ibirá,39,11690
3,Sudeste,35,São Paulo,3519501,Ibirarema,22,6385
3,Sudeste,35,São Paulo,3519600,Ibitinga,166,60033
3,Sudeste,35,São Paulo,3519709,Ibiúna,220,75605
3,Sudeste,35,São Paulo,3519808,Icém,22,7819
3,Sudeste,35,São Paulo,3519907,Iepê,26,7619
3,Sudeste,35,São Paulo,3520004,Igaraçu do Tietê,50,23106
3,Sudeste,35,São Paulo,3520103,Igarapava,70,26212
3,Sudeste,35,São Paulo,3520202,Igaratá,37,10605
3,Sudeste,35,São Paulo,3520301,Iguape,114,29115
3,Sudeste,35,São Paulo,3520400,Ilhabela,131,34934
3,Sudeste,35,São Paulo,3520426,Ilha Comprida,57,13419
3,Sudeste,35,São Paulo,3520442,Ilha Solteira,65,25549
3,Sudeste,35,São Paulo,3520509,Indaiatuba,362,255748
3,Sudeste,35,São Paulo,3520608,Indiana,13,5090
3,Sudeste,35,São Paulo,3520707,Indiaporã,14,4035
3,Sudeste,35,São Paulo,3520806,Inúbia Paulista,12,3615
3,Sudeste,35,São Paulo,3520905,Ipaussu,41,13712
3,Sudeste,35,São Paulo,3521002,Iperó,56,36459
3,Sudeste,35,São Paulo,3521101,Ipeúna,21,6831
3,Sudeste,35,São Paulo,3521150,Ipiguá,22,6761
3,Sudeste,35,São Paulo,3521200,Iporanga,60,4046
3,Sudeste,35,São Paulo,3521309,Ipuã,38,14454
3,Sudeste,35,São Paulo,3521408,Iracemápolis,58,21967
3,Sudeste,35,São Paulo,3521507,Irapuã,18,6867
3,Sudeste,35,São Paulo,3521606,Irapuru,25,7085
3,Sudeste,35,São Paulo,3521705,Itaberá,63,17983
3,Sudeste,35,São Paulo,3521804,Itaí,78,25180
3,Sudeste,35,São Paulo,3521903,Itajobi,53,16989
3,Sudeste,35,São Paulo,3522000,Itaju,18,3618
3,Sudeste,35,São Paulo,3522109,Itanhaém,308,112476
3,Sudeste,35,São Paulo,3522158,Itaoca,15,3422
3,Sudeste,35,São Paulo,3522208,Itapecerica da Serra,425,158522
3,Sudeste,35,São Paulo,3522307,Itapetininga,265,157790
3,Sudeste,35,São Paulo,3522406,Itapeva,176,89728
3,Sudeste,35,São Paulo,3522505,Itapevi,301,232297
3,Sudeste,35,São Paulo,3522604,Itapira,156,72022
3,Sudeste,35,São Paulo,3522653,Itapirapuã Paulista,13,4306
3,Sudeste,35,São Paulo,3522703,Itápolis,110,39493
3,Sudeste,35,São Paulo,3522802,Itaporanga,48,14085
3,Sudeste,35,São Paulo,3522901,Itapuí,37,13659
3,Sudeste,35,São Paulo,3523008,Itapura,14,3979
3,Sudeste,35,São Paulo,3523107,Itaquaquecetuba,616,369275
3,Sudeste,35,São Paulo,3523206,Itararé,172,44438
3,Sudeste,35,São Paulo,3523305,Itariri,58,15528
3,Sudeste,35,São Paulo,3523404,Itatiba,245,121590
3,Sudeste,35,São Paulo,3523503,Itatinga,59,19070
3,Sudeste,35,São Paulo,3523602,Itirapina,48,16148
3,Sudeste,35,São Paulo,3523701,Itirapuã,13,5779
3,Sudeste,35,São Paulo,3523800,Itobi,15,8046
3,Sudeste,35,São Paulo,3523909,Itu,275,168240
3,Sudeste,35,São Paulo,3524006,Itupeva,172,70616
3,Sudeste,35,São Paulo,3524105,Ituverava,92,37571
3,Sudeste,35,São Paulo,3524204,Jaborandi,17,6221
3,Sudeste,35,São Paulo,3524303,Jaboticabal,186,71821
