CD_MUN,NM_MUN_x,Total_confirmados_autóctones,Total_confirmados_importados,Janeiro_confirmados_total,Fevereiro_confirmados_total,Março_confirmados_total,Abril_confirmados_total,Maio_confirmados_total,Junho_confirmados_total,Julho_confirmados_total,Agosto_confirmados_total,Setembro_confirmados_total,Outubro_confirmados_total,Novembro_confirmados_total,Dezembro_confirmados_total,Total_confirmados_anual
3514304,Dourado,209,9,1,0,4,50,106,38,15,2,0,1,0,1,218
3514403,Dracena,1754,17,48,66,405,639,409,95,48,36,11,2,2,10,1771
3514502,Duartina,670,1,3,46,271,279,72,0,0,0,0,0,0,0,671
3514601,Dumont,208,2,3,2,8,45,106,31,3,4,6,2,0,0,210
3514700,Echaporã,34,2,0,0,0,4,13,0,0,0,0,0,3,16,36
3514809,Eldorado,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3514908,Elias Fausto,10,1,0,2,1,5,3,0,0,0,0,0,0,0,11
3514924,Elisiário,179,4,0,2,29,68,64,11,5,4,0,0,0,0,183
3514957,Embaúba,251,2,0,11,79,131,31,1,0,0,0,0,0,0,253
3515004,Embu das Artes,48,8,0,3,10,17,18,5,1,1,0,0,0,1,56
3515103,Embu-Guaçu,6,1,1,0,0,3,1,0,1,0,0,0,1,0,7
3515129,Emilianópolis,19,2,0,0,0,3,10,0,0,0,0,0,7,1,21
3515152,Engenheiro Coelho,43,0,5,6,2,8,9,6,1,2,2,0,1,1,43
3515186,Espírito Santo do Pinhal,674,8,0,6,106,268,263,25,9,2,2,1,0,0,682
3515194,Espírito Santo do Turvo,187,5,0,9,85,62,34,2,0,0,0,0,0,0,192
3515202,Estrela d'Oeste,368,2,1,1,52,133,141,30,8,3,0,0,0,1,370
3515301,Estrela do Norte,37,0,1,0,1,13,14,6,0,0,0,1,0,1,37
3515350,Euclides da Cunha Paulista,654,0,1,19,47,159,246,109,34,20,3,11,5,0,654
3515400,Fartura,72,5,0,0,0,22,41,7,5,0,0,0,0,2,77
3515509,Fernandópolis,914,1,15,59,181,249,216,137,43,7,3,1,3,1,915
3515608,Fernando Prestes,65,5,0,0,4,23,22,4,4,2,3,3,2,3,70
3515657,Fernão,16,8,0,0,7,9,7,0,0,1,0,0,0,0,24
3515707,Ferraz de Vasconcelos,194,4,3,1,7,46,103,33,2,1,0,2,0,0,198
3515806,Flora Rica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3515905,Floreal,295,4,6,29,104,102,49,7,2,0,0,0,0,0,299
3516002,Flórida Paulista,228,3,3,2,14,81,76,24,13,10,0,1,3,4,231
3516101,Florínea,5,3,1,0,0,3,0,0,2,2,0,0,0,0,8
3516200,Franca,7073,36,54,478,2776,2060,1471,177,32,18,6,9,9,19,7109
3516309,Francisco Morato,52,0,1,1,6,25,17,0,1,1,0,0,0,0,52
3516408,Franco da Rocha,84,6,0,0,9,29,29,12,4,1,3,1,0,2,90
3516507,Gabriel Monteiro,476,2,54,91,174,101,42,13,3,0,0,0,0,0,478
3516606,Gália,305,2,8,42,149,86,20,0,0,1,0,0,0,1,307
