CD_MUN,NM_MUN_x,Classificação_incidência,População_total_2021,Total_confirmados_anual,Taxa_incidência_mil
3517109,Glicério,Alta,4842,334,690.0
3517208,Guaiçara,Baixa,12416,99,80.0
3517307,Guaimbê,Média,5806,126,217.0
3517406,Guaíra,Média,41283,454,110.0
3517505,Guapiaçu,Média,22087,595,269.0
3517604,Guapiara,Baixa,16896,1,1.0
3517703,Guará,Baixa,21394,1,0.0
3517802,Guaraçaí,Alta,8258,1349,1634.0
3517901,Guaraci,Média,11382,158,139.0
3518008,Guarani d'Oeste,Média,1996,41,205.0
3518107,Guarantã,Baixa,6685,18,27.0
3518206,Guararapes,Média,33257,810,244.0
3518305,Guararema,Baixa,30465,15,5.0
3518404,Guaratinguetá,Baixa,123192,51,4.0
3518503,Guareí,Baixa,19244,4,2.0
3518602,Guariba,Média,40857,1072,262.0
3518701,Guarujá,Baixa,324977,86,3.0
3518800,Guarulhos,Baixa,1404694,1071,8.0
3518859,Guatapará,Baixa,7760,55,71.0
3518909,Guzolândia,Média,5346,85,159.0
3519006,Herculândia,Média,9649,243,252.0
3519055,Holambra,Baixa,15605,136,87.0
3519071,Hortolândia,Baixa,237570,1145,48.0
3519105,Iacanga,Média,12002,183,152.0
3519204,Iacri,Alta,6269,351,560.0
3519253,Iaras,Média,9786,252,258.0
3519303,Ibaté,Alta,35830,1382,386.0
3519402,Ibirá,Alta,12639,841,665.0
3519501,Ibirarema,Baixa,7926,2,3.0
3519600,Ibitinga,Baixa,61150,504,82.0
3519709,Ibiúna,Baixa,80062,9,1.0
3519808,Icém,Média,8363,178,213.0
3519907,Iepê,Média,8228,126,153.0
3520004,Igaraçu do Tietê,Baixa,24821,43,17.0
3520103,Igarapava,Baixa,30791,70,23.0
3520202,Igaratá,Baixa,9631,5,5.0
3520301,Iguape,Baixa,31117,8,3.0
3520400,Ilhabela,Média,36194,430,119.0
3520426,Ilha Comprida,Baixa,11552,4,3.0
3520442,Ilha Solteira,Baixa,26886,58,22.0
3520509,Indaiatuba,Baixa,260690,1382,53.0
3520608,Indiana,Alta,4873,242,497.0
3520707,Indiaporã,Baixa,3876,12,31.0
3520806,Inúbia Paulista,Alta,4045,278,687.0
3520905,Ipaussu,Baixa,15165,29,19.0
3521002,Iperó,Baixa,38771,13,3.0
3521101,Ipeúna,Baixa,7824,46,59.0
3521150,Ipiguá,Baixa,5557,46,83.0
3521200,Iporanga,Baixa,4180,0,0.0
