CD_MUN,NM_MUN_x,V00001,V00002,V00004,V00111,V00112,V00113,V00114,V00119,V00120,V00121,V00122,V00127,V00128,V00135,V00199,V00200,V00201,V00309,V00310,V00311,V00312,V00313,V00314,V00397,V00398,V00399,V00463,V00464,V00465,V00466,Cluster
3504503,Avaré,33459,38,33459,31503,1461,76,317,30213,1298,73,316,462,60,675,33370,16,31,31102,288,1069,876,0,0,31627,1246,417,984,919,838,890,7
3504602,Bady Bassitt,9957,0,9957,9497,441,0,0,9019,417,0,0,339,16,116,9948,0,0,9500,10,140,289,0,0,9682,167,98,37,409,13,407,8
3504701,Balbinos,539,0,539,497,30,0,7,497,30,0,7,0,0,0,538,0,0,496,0,10,29,0,0,513,0,16,0,39,0,39,0
3504800,Bálsamo,3708,0,3708,3444,249,3,0,3427,247,3,0,0,0,10,3706,0,0,3442,67,58,127,0,0,3587,40,78,69,185,67,185,0
3504909,Bananal,3710,0,3710,3044,67,11,569,2873,67,11,568,43,0,125,3693,12,0,2977,42,334,203,44,62,3121,436,129,22,625,21,625,0
3505005,Barão de Antonina,1336,4,1336,1008,222,8,91,995,221,8,90,7,0,5,1321,11,0,681,313,224,109,0,0,833,492,5,84,242,81,241,0
3505104,Barbosa,2108,0,2108,1937,164,0,0,1886,164,0,0,0,0,51,2108,0,0,1937,0,55,111,0,0,1908,63,101,8,153,8,153,0
3505203,Bariri,11744,0,11744,11311,231,120,58,11222,224,120,58,0,6,83,11735,0,3,11292,29,107,277,3,5,11353,156,188,60,349,54,349,8
3505302,Barra Bonita,12891,0,12891,12707,95,7,61,12646,95,7,61,3,0,38,12886,0,0,12548,136,135,37,0,7,12507,284,22,36,135,36,135,8
3505351,Barra do Chapéu,1876,0,1876,961,94,19,767,949,94,19,765,7,0,3,1848,15,0,654,30,308,790,0,60,1521,81,246,14,896,14,894,0
3505401,Barra do Turvo,2562,0,2562,1187,36,47,1223,1180,36,47,1222,0,0,0,2442,86,7,1014,15,594,774,34,49,2131,161,227,0,1358,0,1357,0
3505500,Barretos,46311,3,46311,44976,1167,70,24,41199,1096,70,24,348,3,3341,46233,25,8,45026,281,524,395,3,6,45152,393,621,383,897,374,830,7
3505609,Barrinha,11196,0,11196,11027,142,12,0,10787,142,12,0,32,0,144,11159,24,0,10976,10,81,90,0,15,11129,29,12,35,119,35,119,8
3505708,Barueri,109448,14,109448,109060,207,15,20,72207,128,15,20,5078,0,31097,109285,16,38,105782,978,1324,142,36,576,56734,52633,8,127,167,69,135,3
3505807,Bastos,7530,3,7530,6401,1070,36,4,6203,1069,36,4,141,0,48,7476,35,6,6391,91,297,723,0,3,6350,619,499,501,610,500,610,8
3505906,Batatais,21410,0,21410,20807,331,38,188,19491,329,38,188,15,0,1247,21399,0,0,20760,37,301,272,0,0,20498,523,287,140,426,140,424,5
3506003,Bauru,139983,122,139983,134358,4917,65,96,102811,1563,55,93,3472,47,27706,139444,286,127,135709,116,1595,2092,8,81,131952,7108,465,3521,1898,391,1574,11
3506102,Bebedouro,28017,0,28017,27047,825,96,3,26470,824,96,3,83,0,474,28001,0,0,27103,93,81,672,0,38,27270,278,401,414,509,413,509,5
3506201,Bento de Abreu,929,0,929,863,57,3,0,863,57,3,0,0,0,0,929,0,0,864,0,0,64,0,0,890,0,35,41,22,41,22,0
3506300,Bernardino de Campos,3879,3,3879,3567,190,33,85,3564,189,33,85,0,0,0,3873,4,0,3556,0,60,247,0,3,3584,187,88,8,297,8,296,0
3506359,Bertioga,22685,38,22685,21126,450,71,255,17122,418,65,252,1440,0,2204,20893,1120,604,15700,629,3785,1210,826,211,19949,2542,67,245,1228,234,1153,5
3506409,Bilac,2798,0,2798,2603,175,8,3,2602,175,8,3,0,0,0,2792,0,0,2625,8,17,133,0,0,2683,27,84,33,154,33,154,0
