CD_MUN,NM_MUN_x,V00001,V00002,V00004,V00111,V00112,V00113,V00114,V00119,V00120,V00121,V00122,V00127,V00128,V00135,V00199,V00200,V00201,V00309,V00310,V00311,V00312,V00313,V00314,V00397,V00398,V00399,V00463,V00464,V00465,V00466,Cluster
3544400,Rubiácea,-0.1387159555039966,-0.0667927686966402,-0.1387159555039966,-0.1343228496547222,-0.4253660019466204,-0.3075151052596811,-0.3706739623367942,-0.1579756103765496,-0.5607243850092225,-0.3091592996869768,-0.3730214827633906,-0.1720729513680584,-0.1683112121411553,-0.0865711376942075,-0.1384091626578045,-0.2379471570719733,-0.2238313912990037,-0.1326607826884782,-0.1867455313035102,-0.3746775529622815,-0.404169202136318,-0.1710793604503309,-0.0930144675840972,-0.1356616644296381,-0.1425544412832155,-0.7118507666930214,-0.2769764779974002,-0.4695580343392666,-0.408976806909031,-0.4713086205414267,0
3544509,Rubinéia,-0.1358537812646702,-0.0667927686966402,-0.1358537812646702,-0.1320947941075252,-0.3232994964513159,-0.2986792396842128,-0.3706739623367942,-0.1546852295042707,-0.3994773630157072,-0.3000910900069362,-0.3730214827633906,-0.1675002848324508,-0.1683112121411553,-0.0865014822771911,-0.1355515927155458,-0.2379471570719733,-0.2238313912990037,-0.1311923809267276,-0.1905144736058038,-0.2287107584866011,-0.4536898155784541,-0.1710793604503309,-0.0930144675840972,-0.1326281212717033,-0.1420562460009604,-0.6510763049837076,-0.2226711936624401,-0.4264886272568824,-0.3001523071463087,-0.4258642798274457,0
3544608,Sabino,-0.132767910040707,-0.0667927686966402,-0.132767910040707,-0.1290102392850423,-0.3497975315318277,-0.2412461134436685,-0.3706739623367942,-0.1503430055662634,-0.442890022783192,-0.2411477270866718,-0.3730214827633906,-0.1495362377282781,-0.1683112121411553,-0.0865711376942075,-0.1324467883517234,-0.2379471570719733,-0.2238313912990037,-0.1273211399184759,-0.176380939972203,-0.2964182474903806,-0.4246377223590676,-0.1710793604503309,-0.0930144675840972,-0.1296760575787542,-0.1423053436420879,-0.301623150155153,-0.1869440329157559,-0.4321889899589627,-0.2285572415129388,-0.4325472711089135,0
3544707,Sagres,-0.1391805569336268,-0.0667927686966402,-0.1391805569336268,-0.1351156902000883,-0.3821840188524531,-0.2942613068964786,-0.3628271411728278,-0.1592162457874089,-0.492504491088889,-0.2955569851669158,-0.3649948917798171,-0.1720729513680584,-0.1683112121411553,-0.0865711376942075,-0.1388863825877994,-0.2379471570719733,-0.2238313912990037,-0.1336801690354787,-0.1876877668790836,-0.3447807396359373,-0.390963705218415,-0.1710793604503309,-0.0930144675840972,-0.1364701914283439,-0.142243069231806,-0.5193983046135277,-0.218383934372838,-0.459424056202235,-0.2915608992703044,-0.4606158344910782,0
3544806,Sales,-0.1302957715694651,-0.0667927686966402,-0.1302957715694651,-0.1267416736369872,-0.2781546959437774,-0.3075151052596811,-0.3647888464638194,-0.1462075541967325,-0.3281565648262677,-0.3091592996869768,-0.3670015395257105,-0.1720729513680584,-0.1683112121411553,-0.0865711376942075,-0.1299744441360871,-0.2379471570719733,-0.2238313912990037,-0.1247301996198498,-0.176380939972203,-0.306530404938997,-0.4134130499788501,-0.1710793604503309,-0.0930144675840972,-0.1269684322807628,-0.1417448739495509,-0.4130429966222284,-0.1812276871962864,-0.4131877809520285,-0.2171020310115996,-0.4118299981363634,0
3544905,Sales Oliveira,-0.1209750638762678,-0.0667927686966402,-0.1209750638762678,-0.117030823745568,-0.3861096536791956,-0.2986792396842128,-0.2745504030782055,-0.1312749787080571,-0.4987062996271011,-0.3000910900069362,-0.274695743214616,-0.1694599990619969,-0.1683112121411553,-0.0865014822771911,-0.1206600310446201,-0.2379471570719733,-0.2238313912990037,-0.1148215216159705,-0.1697852909431892,-0.3623671004161398,-0.3467252905434401,-0.1710793604503309,-0.0930144675840972,-0.1174290672262651,-0.1361401770241803,-0.3978493811948999,-0.064042599947162,-0.5031268369181836,0.0177297842658537,-0.506728474333206,0
3545001,Salesópolis,-0.1135070260814722,-0.0667927686966402,-0.1135070260814722,-0.1203758006449961,-0.1387946595944195,1.196054686832516,0.8436216127870094,-0.1369297589503068,-0.1079923617197372,1.233947714199945,0.8690934719445991,-0.1648873325263893,-0.1683112121411553,-0.0859964805038228,-0.1136972197768629,0.0691429614738199,-0.1227629234304277,-0.1200883510754728,-0.1471716371294279,0.0988352110446696,0.2792152633651606,-0.1504757730583838,-0.0765746404057257,-0.1207571899883796,-0.0510733325791111,1.7039340862522034,-0.2498238358299202,0.7579200675086819,-0.3545645570276699,0.8238550898070304,11
3545100,Salmourão,-0.1341272994088841,-0.0667927686966402,-0.1341272994088841,-0.1298841000321247,-0.3949423320393662,-0.3119330380474153,-0.3706739623367942,-0.151134135393478,-0.5126603688380785,-0.3136934045269972,-0.3730214827633906,-0.17043985617677,-0.1683112121411553,-0.0865711376942075,-0.1338094524891788,-0.2379471570719733,-0.2238313912990037,-0.1280310696958512,-0.1867455313035102,-0.3535739200260386,-0.4147335996706404,-0.1710793604503309,-0.0930144675840972,-0.1307916994839452,-0.1425544412832155,-0.6257536126048268,-0.2655437865584613,-0.4549904407672837,-0.3860663859063526,-0.4559377405940508,0
3545159,Saltinho,-0.127731859976321,-0.0667927686966402,-0.127731859976321,-0.1253585430505455,-0.3497975315318277,0.0650638931725675,-0.3373249723899369,-0.1444275120854997,-0.442890022783192,0.0732168751547383,-0.3389084710832035,-0.1675002848324508,-0.1683112121411553,-0.0861357913378555,-0.1274388539056322,-0.2379471570719733,-0.2238313912990037,-0.1233406789444742,-0.1905144736058038,-0.3148839263095932,-0.2562676366558047,-0.1556266699063705,-0.0916110677030167,-0.1239411567739807,-0.1392538975382751,-0.8080769977327683,-0.2469656629701855,-0.2586446143622971,-0.3488369517770003,-0.2494333099966961,0
3545209,Salto,0.1239157760997687,-0.0474011254540848,0.1239157760997687,0.1227831861772695,0.4314037989899254,0.0385562964461624,-0.2902440454061384,0.1701095250140114,0.5214912049087935,0.041478141274596,-0.2907489251817629,0.7356013559500525,0.8159424841959196,0.0003414088879068,0.1241020463033745,0.1698282462429325,-0.2238313912990037,0.1267487715196333,0.1458636268738959,0.479579921936053,-0.0139467682122852,-0.1221458403944565,-0.0894057250327473,-0.1000363352773617,2.3449968774270977,-0.5751082278470653,0.2575018467729965,0.1175793239749997,0.6449025592141744,0.0205595377746024,3
