CD_MUN,NM_MUN_x,População_total_2021,Total_confirmados_anual,Taxa_incidência_mil
3503901,Arujá,0.039954026287465964,-0.2621243502419632,-0.6298046057306933
3503950,Aspásia,-0.14080337669410212,-0.1936178040150406,2.6629803683937623
3504008,Assis,0.06650784279598974,-0.03030309113478767,-0.523781170501295
3504107,Atibaia,0.14550120906730984,0.37033787117444705,-0.4238162172850052
3504206,Auriflama,-0.11387862440859106,-0.13795623520566602,-0.08454122455093062
3504305,Avaí,-0.13352027208357797,-0.28903763625968276,-0.4177577352718967
3504404,Avanhandava,-0.11637745520732784,-0.13367457606648336,-0.0178979224067374
3504503,Avaré,0.03863580828430155,-0.2578426911027805,-0.6267753647241391
3504602,Bady Bassitt,-0.10850005564227573,-0.10798462123138738,-0.08757046555748485
3504701,Balbinos,-0.13220404835878447,-0.3116692631382197,-0.6267753647241391
3504800,Bálsamo,-0.1260576824196729,-0.04131307177840023,0.8151433543956779
3504909,Bananal,-0.12240815300092724,-0.31411592550346695,-0.6510092927765729
3505005,Barão de Antonina,-0.13739316067986435,-0.2572310255114687,0.1608272969799626
3505104,Barbosa,-0.12940208724767097,-0.2694643373377049,-0.35414367413425774
3505203,Bariri,-0.07294007801077083,-0.30310594485985437,-0.638892328750356
3505302,Barra Bonita,-0.07237968578854814,-0.10553795886614015,-0.3692898791670289
3505351,Barra do Chapéu,-0.1328681430562939,-0.31533925668609053,-0.6570677747896814
3505401,Barra do Turvo,-0.12925451064822444,-0.30799926959034885,-0.6085999186848137
3505500,Barretos,0.10196212367383697,0.9208369033550748,-0.16027224971478654
3505609,Barrinha,-0.07754087821243545,-0.07862467284842056,-0.30870505903594414
3505708,Barueri,0.4133846455167252,-0.27986265239000563,-0.6510092927765729
3505807,Bastos,-0.10263887151020278,0.08346670884920876,0.2850261782486863
3505906,Batatais,-0.017909960644176368,0.5024576388977977,-0.0178979224067374
3506003,Bauru,0.6168050279051926,2.027951623629449,-0.35414367413425774
3506102,Bebedouro,0.010356940984949891,0.007620175526544469,-0.4510793863439933
3506201,Bento de Abreu,-0.1383843170302013,-0.27435766206819934,0.01239448765880497
3506300,Bernardino de Campos,-0.12215089109108124,-0.31105759754690787,-0.638892328750356
3506359,Bertioga,-0.01249350058881395,-0.22603608035456646,-0.5904244726454883
3506409,Bilac,-0.12807589213102297,-0.21563776530226572,-0.05424881448538824
3506508,Birigui,0.10704354496288832,5.578670381194498,1.6572723542177559
3506607,Biritiba Mirim,-0.07808332192932005,-0.2823093147552529,-0.6085999186848137
3506706,Boa Esperança do Sul,-0.1142874514746254,0.14830326152826048,0.8636112105005457
