CD_MUN,NM_MUN_x,Classificação_incidência,Cluster,Taxa_de_incidência,População_total_2021,Total_confirmados_anual,V00001,V00002,V00003,V00004,V00005,V00006,V00007,V00047,V00048,V00049,V00050,V00051,V00052,V00111,V00112,V00113,V00114,V00115,V00116,V00117,V00118,V00119,V00120,V00121,V00122,V00123,V00124,V00125,V00126,V00127,V00128,V00129,V00130,V00131,V00132,V00133,V00134,V00135,V00136,V00137,V00138,V00139,V00140,V00141,V00142,V00199,V00200,V00201,V00309,V00310,V00311,V00312,V00313,V00314,V00315,V00316,V00397,V00398,V00399,V00400,V00401,V00402,V00463,V00464,V00465,V00466,V00467,V00468,V00469,V00470,V00508,V00509,V00510,V00511,V00512,V00513,V00514,V00515,V00540,V00541,V00542,V00580,V00581,V00582,V00583,V00584,V00585,V00586,V00587,V00612,V00613,V00614,V00615,V00616,V00617,V00636,V00637,V00638,V00639
3501806.0,Américo de Campos,Q4 - Muito Alta,0,7142.0,5993.0,428.0,2361,0,0,2361,5868,0,0,2360,0,0,0,0,0,2103,204,44,0,0,0,0,0,2102,204,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2359,0,0,2100,0,39,213,0,0,0,0,2109,86,145,0,0,7,141,107,141,107,0,0,0,0,5230,513,112,3,0,0,0,3,5862,6,0,5217,11,105,529,0,3,0,0,5246,197,378,10,10,20,350,284,21,23
3501905.0,Amparo,Q1 - Baixa,6,38.0,73145.0,28.0,24489,3,138,24489,67681,11,234,21771,406,2226,39,0,0,21991,1400,158,725,130,0,0,3,19485,1262,151,696,96,0,0,3,294,73,0,17,0,0,0,0,2172,47,0,0,0,0,0,0,24156,222,89,20842,174,1428,1586,26,299,12,0,21484,2711,64,3,28,133,220,2223,166,2070,6,94,44,0,60436,4155,454,2095,449,7,11,32,66655,706,312,57084,511,4125,4850,116,879,80,0,59483,7440,220,24,75,405,693,6533,54,782
3502002.0,Analândia,Q3 - Alta,0,880.0,5115.0,45.0,1679,0,5,1679,4580,0,5,1656,20,0,0,0,0,1427,107,6,123,0,0,0,0,1423,89,6,122,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1677,0,0,1386,14,95,162,0,7,0,0,1463,115,74,19,0,0,193,46,174,46,18,0,0,0,3910,298,23,339,0,0,3,0,4575,4,0,3790,43,259,459,0,20,0,0,3986,322,224,47,0,0,543,123,80,17
3502101.0,Andradina,Q4 - Muito Alta,6,3426.0,57245.0,1961.0,21911,3,99,21911,57887,9,114,21355,145,375,7,0,0,20897,917,62,0,7,0,0,0,20368,894,62,0,7,0,0,0,144,0,0,0,0,0,0,0,359,16,0,0,0,0,0,0,21858,11,15,20452,48,476,862,0,0,0,0,20904,213,670,34,0,65,37,952,20,944,0,0,16,0,55271,2390,152,8,31,7,0,0,57754,74,45,54123,179,1256,2276,10,0,0,4,55306,534,1765,95,4,163,110,2485,3,208
3502200.0,Angatuba,Q1 - Baixa,8,43.0,25724.0,11.0,8488,0,64,8488,23937,0,64,8436,4,33,0,0,0,7082,422,333,522,74,0,9,6,7034,421,333,521,74,0,9,6,4,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,8466,4,3,5900,32,624,1851,3,12,7,3,7637,166,537,10,3,90,107,1272,106,1271,0,0,0,0,20028,1291,865,1465,225,0,34,16,23876,33,16,16717,113,1731,5223,40,47,38,3,21549,486,1561,58,6,257,358,3545,32,407
3502309.0,Anhembi,Q2 - Moderada,0,116.0,6911.0,8.0,2046,0,0,2046,5631,18,0,2022,0,21,0,0,0,1608,230,35,158,0,0,0,0,1585,229,35,158,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,2044,0,0,1561,91,52,302,0,3,6,0,1800,191,49,0,0,0,82,347,82,346,0,0,0,0,4439,661,100,421,0,0,0,3,5619,12,0,4321,263,165,827,7,20,20,0,4936,520,167,0,0,0,226,959,12,128
3502408.0,Anhumas,Q4 - Muito Alta,0,6999.0,4172.0,292.0,1481,0,22,1481,4001,0,22,1481,0,0,0,0,0,1260,161,18,26,0,0,0,0,1260,161,18,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1479,0,0,1255,17,90,110,0,0,0,0,1334,40,88,4,0,10,3,210,3,210,0,0,0,0,3391,470,48,86,0,0,0,4,3998,0,0,3377,52,257,308,0,0,5,0,3587,129,246,18,0,19,18,592,0,68
3502507.0,Aparecida,Q2 - Moderada,8,116.0,36211.0,42.0,11364,0,178,11364,32345,12,189,9558,219,1563,3,0,0,11195,28,0,104,8,0,0,0,9393,28,0,104,8,0,0,0,219,0,0,0,0,0,0,0,1559,0,0,0,0,0,0,0,11346,7,0,10941,3,79,172,24,79,17,0,9262,1928,46,0,102,0,0,146,0,146,0,0,0,0,31867,97,9,322,23,0,3,8,32306,28,3,31051,34,252,548,116,275,54,0,26407,5512,146,13,248,8,28,437,0,55
3502606.0,Aparecida d'Oeste,Q4 - Muito Alta,0,9364.0,4122.0,386.0,1616,0,22,1616,4064,0,22,1614,0,0,0,0,0,1354,242,0,0,0,0,0,10,1354,240,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1609,0,3,1342,7,126,122,0,0,0,0,1422,88,91,0,0,3,7,248,7,246,0,0,0,0,3369,664,0,0,0,0,0,23,4049,9,4,3342,25,336,343,0,3,3,0,3535,249,252,17,0,7,16,674,0,46
3502705.0,Apiaí,Q1 - Baixa,8,21.0,24081.0,5.0,8814,12,37,8814,24475,37,47,8690,4,98,4,0,0,7102,131,210,1250,6,0,5,19,6982,131,210,1247,6,0,5,19,4,0,0,0,0,0,0,0,98,0,0,0,0,0,0,0,8741,4,9,5067,75,1016,1856,53,606,10,0,7450,671,600,0,0,9,87,1569,85,1568,0,0,0,0,19810,438,608,3474,17,3,26,61,24310,82,49,14029,277,2919,5222,178,1726,64,4,20893,1858,1598,34,9,44,344,4305,32,564
