ID_Distrito,Nome,V00001,V00002,V00003,V00004,V00005,V00006,V00007,V00047,V00048,V00049,V00050,V00051,V00052,V00111,V00112,V00113,V00114,V00115,V00116,V00117,V00118,V00119,V00120,V00121,V00122,V00123,V00124,V00125,V00126,V00127,V00128,V00129,V00130,V00131,V00132,V00133,V00134,V00135,V00136,V00137,V00138,V00139,V00140,V00141,V00142,V00199,V00200,V00201,V00309,V00310,V00311,V00312,V00313,V00314,V00315,V00316,V00397,V00398,V00399,V00400,V00401,V00402,V00463,V00464,V00465,V00466,V00467,V00468,V00469,V00470,V00508,V00509,V00510,V00511,V00512,V00513,V00514,V00515,V00540,V00541,V00542,V00580,V00581,V00582,V00583,V00584,V00585,V00586,V00587,V00612,V00613,V00614,V00615,V00616,V00617,V00636,V00637,V00638,V00639,Regioes,Codigo_subprefeitura,Subprefeituras,Area_ha,Area_km
355030878,Sé,10202,312,36,10202,22770,838,36,462,71,8908,718,0,0,10189,3,0,0,0,0,3,0,458,0,0,0,0,0,3,0,71,0,0,0,0,0,0,0,8899,3,0,0,0,0,0,0,10187,0,0,10170,4,0,0,0,0,0,6,8248,1922,0,0,11,0,6,0,3,0,0,0,3,0,22739,8,0,0,0,8,5,4,22747,3,0,22695,18,0,0,0,10,0,31,18801,3930,0,0,23,0,25,0,0,0,Centro,9,Sé,"219,38","2,19"
355030879,Socorro,14555,0,197,14555,37845,5,197,9800,266,4367,82,0,0,14535,3,0,0,0,0,0,0,9784,3,0,0,0,0,0,0,266,0,0,0,0,0,0,0,4363,0,0,0,0,0,0,0,14548,0,0,14288,179,0,13,0,6,10,0,12762,1749,0,0,4,18,8,0,4,0,0,0,4,0,37771,48,6,4,4,0,0,7,37831,6,3,37203,454,29,49,0,25,54,0,33472,4300,0,0,11,53,59,10,0,0,Sul,19,Capela do Socorro,"1196,55","11,97"
355030880,Tatuapé,40563,40,328,40563,98080,116,379,9749,543,30108,81,0,0,40428,105,0,0,0,0,0,3,9744,0,0,0,0,0,0,0,543,0,0,0,0,0,0,0,29979,101,0,0,0,0,0,3,40545,3,0,40305,38,6,0,0,155,3,0,38175,2313,0,0,0,0,105,0,0,0,0,0,105,0,97706,328,0,0,0,3,3,17,98040,24,0,97395,168,31,0,0,438,15,0,92613,5418,0,4,3,0,345,4,36,0,Leste,25,Mooca,"851,43","8,51"
355030881,Tremembé,68463,41,367,68463,195888,167,419,62544,1380,3988,388,0,7,67577,122,13,62,41,4,21,497,61706,109,13,54,34,4,20,486,1351,9,0,6,0,0,0,9,3985,0,0,0,0,0,0,0,68150,191,60,61450,490,819,733,188,4052,334,0,64941,3183,0,0,197,43,78,696,70,664,0,22,0,0,193116,460,60,225,160,41,117,1631,194947,665,238,174661,1673,2683,2620,608,12360,1093,18,185106,9974,35,4,541,186,440,2257,43,390,Norte,6,Jaçanã/Tremembé,"5765,05","57,65"
355030882,Tucuruvi,39038,3,413,39038,98964,36,460,24245,1825,12826,51,0,23,38976,33,0,0,0,0,0,0,24230,0,0,0,0,0,0,0,1824,0,0,0,0,0,0,0,12781,33,0,0,0,0,0,0,39018,0,0,37845,131,66,5,0,794,3,0,37839,1137,0,0,0,16,30,3,0,0,0,0,30,3,98808,100,0,3,0,6,0,25,98911,42,0,95864,435,277,63,6,2153,64,0,96102,2797,0,0,7,31,107,24,5,0,Norte,5,Santana/Tucuruvi,"944,13","9,44"
355030883,Vila Andrade,66222,31,104,66222,168378,113,104,27489,1381,37140,48,0,0,65061,1061,0,0,0,0,3,34,27424,8,0,0,0,0,3,33,1381,0,0,0,0,0,0,0,36046,1051,0,0,0,0,0,0,66159,26,0,62304,305,1530,38,295,1577,17,0,54481,11607,0,0,4,39,1002,90,3,35,0,0,997,54,164913,3284,0,8,0,0,17,110,168215,138,0,157308,977,4288,128,860,4660,72,8,137599,30579,10,0,23,122,3155,269,305,33,Sul,17,Campo Limpo,"1030,69","10,31"
355030884,Vila Curuçá,48873,19,136,48873,140409,58,156,42071,551,6001,154,0,5,48664,18,0,7,0,0,21,119,41890,5,0,7,0,0,21,113,551,0,0,0,0,0,0,0,5981,13,0,0,0,0,0,0,48797,10,29,46740,331,16,32,28,1519,83,5,47066,1716,0,0,10,16,119,41,105,36,0,0,13,0,139767,63,6,23,10,3,74,433,140181,102,110,133919,1126,89,126,89,4691,295,15,135288,4922,4,0,82,87,445,169,70,20,Leste,24,Itaim Paulista,"945,92","9,46"
355030885,Vila Formosa,35220,11,195,35220,91924,43,198,23112,580,11152,298,0,0,35209,0,0,0,0,0,0,0,23105,0,0,0,0,0,0,0,580,0,0,0,0,0,0,0,11149,0,0,0,0,0,0,0,35208,0,0,35040,19,14,3,0,69,3,0,34670,503,0,0,0,0,0,0,0,0,0,0,0,0,91903,3,0,0,5,0,0,3,91888,23,5,91430,134,65,15,4,229,19,0,90564,1328,4,0,4,7,3,8,0,0,Leste,26,Aricanduva/Formosa/Carrão,"747,32","7,47"
355030886,Vila Guilherme,20352,3,273,20352,52291,15,273,12315,433,7472,80,0,0,20340,0,0,0,0,0,0,7,12305,0,0,0,0,0,0,6,433,0,0,0,0,0,0,0,7471,0,0,0,0,0,0,0,20334,5,0,20312,12,0,0,0,0,13,0,19879,451,0,0,0,0,4,3,4,0,0,0,0,0,52274,0,0,0,0,0,0,10,52259,15,4,52198,37,0,0,0,3,40,0,51131,1145,0,0,0,0,5,5,0,0,Norte,7,Vila Maria/Vila Guilherme,"720,06","7,2"
355030887,Vila Jacuí,46508,46,44,46508,133915,187,68,39917,400,5825,267,0,5,46442,0,0,0,0,0,0,32,39878,0,0,0,0,0,0,7,375,0,0,0,0,0,0,25,5823,0,0,0,0,0,0,0,46475,7,0,44950,159,33,6,38,1219,7,0,45517,918,0,0,17,0,32,0,7,0,25,0,0,0,133712,6,0,3,3,7,21,146,133820,73,12,129273,557,129,42,125,3694,42,8,130879,2937,0,0,56,20,172,15,25,4,Leste,23,São Miguel,"827,88","8,28"
355030888,Vila Leopoldina,18570,119,104,18570,45419,196,118,4209,113,14027,155,0,0,18558,0,0,0,0,0,0,0,4205,0,0,0,0,0,0,0,113,0,0,0,0,0,0,0,14020,0,0,0,0,0,0,0,18560,3,0,18535,0,0,0,0,0,0,0,16976,1544,0,0,0,0,0,0,0,0,0,0,0,0,45386,10,0,0,0,0,0,15,45399,12,0,45325,33,0,6,0,7,18,0,41635,3746,0,6,0,7,22,3,4,0,Oeste,8,Lapa,"699,1","6,99"
355030889,Vila Maria,41815,69,99,41815,108205,205,116,30272,682,10261,408,0,72,41737,0,0,0,0,0,0,49,30225,0,0,0,0,0,0,31,676,0,0,0,0,0,0,5,10255,0,0,0,0,0,0,0,41748,16,16,40668,856,14,30,11,145,4,0,38299,3340,0,0,0,104,23,22,7,20,5,0,0,0,108002,0,0,0,0,0,5,170,108036,93,53,104823,2655,80,100,38,398,45,0,99363,8621,0,3,3,159,93,80,14,27,Norte,7,Vila Maria/Vila Guilherme,"1184,27","11,84"
355030890,Vila Mariana,57942,0,756,57942,126220,49,846,8034,645,48910,138,0,0,57716,153,19,0,0,0,0,0,8030,0,0,0,0,0,0,0,645,0,0,0,0,0,0,0,48688,153,19,0,0,0,0,0,57917,0,0,57816,18,3,0,0,4,0,0,51961,5777,0,0,0,0,173,0,0,0,0,0,173,0,125575,507,62,0,4,0,0,14,126172,25,0,125959,77,16,8,8,32,20,0,113833,12251,0,0,4,11,591,0,40,0,Sul,12,Vila Mariana,"859,78","8,6"
355030891,Vila Matilde,38628,0,453,38628,103006,10,528,29525,1480,7496,40,0,0,38606,0,0,0,3,0,0,0,29510,0,0,0,0,0,0,0,1480,0,0,0,0,0,0,0,7489,0,0,0,3,0,0,0,38603,3,0,38437,73,4,0,0,36,0,0,37356,1212,0,0,4,0,7,0,3,0,0,0,3,0,102956,4,0,14,15,0,4,3,102947,44,3,102487,281,33,19,4,121,12,0,99597,3326,0,0,33,17,37,3,0,0,Leste,21,Penha,"876,91","8,77"
355030892,Vila Medeiros,41896,0,89,41896,114824,19,90,35906,992,4533,359,0,3,41512,0,0,0,0,0,3,360,35617,0,0,0,0,0,0,268,992,0,0,0,0,0,0,0,4528,0,0,0,0,0,0,3,41539,3,333,40679,75,63,303,35,626,29,0,40652,1184,0,0,0,29,19,346,3,265,0,0,4,0,113664,6,0,0,0,0,42,1103,113734,47,1029,111223,281,219,963,126,1877,100,0,111444,3298,0,0,16,42,96,1058,5,277,Norte,7,Vila Maria/Vila Guilherme,"785,59","7,86"
355030893,Vila Prudente,42164,13,417,42164,105152,51,479,24039,827,16408,801,0,0,42147,0,0,0,0,0,0,0,24030,0,0,0,0,0,0,0,827,0,0,0,0,0,0,0,16402,0,0,0,0,0,0,0,42111,19,0,41861,107,13,23,0,32,46,0,39810,2289,0,0,0,18,0,0,0,0,0,0,0,0,105105,9,0,0,0,12,0,15,105030,96,5,104369,336,46,99,0,100,154,11,99453,5642,0,0,0,39,33,5,0,0,Leste,29,Vila Prudente,"952,55","9,53"
355030894,Vila Sônia,47463,0,85,47463,123626,18,87,25469,947,20609,306,0,0,47119,260,0,0,0,0,0,18,25427,0,0,0,0,0,0,15,937,6,0,0,0,0,0,0,20320,253,0,0,0,0,0,0,47417,17,0,44668,215,116,35,8,1857,383,0,39958,7389,0,0,8,4,274,4,15,0,5,0,253,4,122681,805,0,7,0,0,3,90,123504,103,0,115700,707,418,160,35,5404,1097,0,103602,19878,0,0,32,55,883,22,77,0,Oeste,10,Butantã,"999,14","9,99"
355030895,São Domingos,32778,4,161,32778,88668,26,183,26884,452,4802,449,0,123,31512,0,0,0,0,0,6,1222,25649,0,0,0,0,0,6,1197,452,0,0,0,0,0,0,0,4800,0,0,0,0,0,0,0,32441,10,297,29552,199,334,608,113,1292,535,4,30928,1763,0,0,7,22,507,727,492,717,0,0,0,0,84704,12,0,4,0,3,30,3887,87723,76,847,79213,697,1059,1916,328,3686,1690,16,83653,4851,4,0,33,104,1687,2251,385,484,Norte,2,Pirituba,"969,34","9,69"
355030896,Lajeado,56332,0,39,56332,164315,19,44,48627,451,7153,17,0,0,56056,61,5,0,0,0,0,145,48416,3,5,0,0,0,0,143,449,0,0,0,0,0,0,0,7090,58,0,0,0,0,0,0,56221,21,48,52449,164,441,45,53,2935,84,0,54113,2074,0,0,21,42,80,123,23,121,0,0,57,0,163476,236,39,4,0,0,57,477,163995,119,177,152507,589,1388,199,174,9046,337,8,157952,6106,0,0,91,144,398,411,32,84,Leste,28,Guaianases,"882,7","8,83"
