CD_MUN,NM_MUN_x,População_total_2021,Total_confirmados_anual,Total_confirmados_autóctones,Total_confirmados_importados,Janeiro_confirmados_total,Fevereiro_confirmados_total,Março_confirmados_total,Abril_confirmados_total,Maio_confirmados_total,Junho_confirmados_total,Julho_confirmados_total,Agosto_confirmados_total,Setembro_confirmados_total,Outubro_confirmados_total,Novembro_confirmados_total,Dezembro_confirmados_total,Taxa_incidência_mil,Classificação_incidência
3544301,Roseira,10888,38,23,15,0,0,0,11,22,2,1,0,0,0,0,2,35.0,Baixa
3544400,Rubiácea,3195,113,112,1,0,0,10,23,25,5,10,1,3,5,18,13,354.0,Alta
3544509,Rubinéia,3191,95,78,17,24,8,38,21,3,1,0,0,0,0,0,0,298.0,Média
3544608,Sabino,5638,9,7,2,0,0,1,2,2,4,0,0,0,0,0,0,16.0,Baixa
3544707,Sagres,2427,23,23,0,0,0,0,2,1,4,6,3,0,1,3,3,95.0,Baixa
3544806,Sales,6481,26,20,6,0,1,4,6,11,3,1,0,0,0,0,0,40.0,Baixa
3544905,Sales Oliveira,12103,48,48,0,1,1,4,3,3,7,3,1,1,13,3,8,40.0,Baixa
3545001,Salesópolis,17363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,Baixa
3545100,Salmourão,5372,77,77,0,0,0,4,5,16,11,6,2,1,1,14,17,143.0,Média
3545159,Saltinho,8498,90,83,7,1,5,12,40,28,2,1,0,1,0,0,0,106.0,Média
3545209,Salto,120779,599,584,15,4,9,73,184,227,77,17,2,3,0,3,0,50.0,Baixa
3545308,Salto de Pirapora,46285,10,3,7,0,1,1,3,4,0,1,0,0,0,0,0,2.0,Baixa
3545407,Salto Grande,9396,112,112,0,0,0,2,12,37,21,10,4,0,0,7,19,119.0,Média
3545506,Sandovalina,4405,65,62,3,0,1,1,6,24,7,14,10,1,0,0,1,148.0,Média
3545605,Santa Adélia,15639,315,281,34,3,1,16,90,112,35,7,18,4,0,10,19,201.0,Média
3545704,Santa Albertina,6036,606,593,13,7,44,235,162,122,20,3,5,6,0,2,0,1004.0,Alta
3545803,Santa Bárbara d'Oeste,195278,5973,5923,50,44,121,766,2198,1989,475,192,71,50,21,27,19,306.0,Alta
3546009,Santa Branca,14925,7,5,2,2,0,0,2,2,0,0,1,0,0,0,0,5.0,Baixa
3546108,Santa Clara d'Oeste,2111,164,163,1,3,28,53,42,27,7,3,1,0,0,0,0,777.0,Alta
3546207,Santa Cruz da Conceição,4584,8,8,0,0,0,0,2,5,1,0,0,0,0,0,0,17.0,Baixa
3546256,Santa Cruz da Esperança,2166,18,10,8,0,0,2,4,4,4,2,0,0,0,0,2,83.0,Baixa
3546306,Santa Cruz das Palmeiras,35102,114,114,0,0,0,4,41,49,10,4,3,1,0,1,1,32.0,Baixa
3546405,Santa Cruz do Rio Pardo,48207,1848,1847,1,4,4,29,424,1036,269,55,10,6,1,2,8,383.0,Alta
3546504,Santa Ernestina,5577,139,137,2,1,1,2,25,68,25,4,0,0,0,4,9,249.0,Média
3546603,Santa Fé do Sul,32796,1020,1000,20,147,212,355,165,98,22,7,2,4,4,1,3,311.0,Alta
3546702,Santa Gertrudes,27850,307,307,0,1,3,46,120,108,20,7,0,0,0,1,1,110.0,Média
3546801,Santa Isabel,58529,39,39,0,0,0,4,9,21,4,0,1,0,0,0,0,7.0,Baixa
3546900,Santa Lúcia,8889,653,643,10,2,10,88,280,217,40,12,4,0,0,0,0,735.0,Alta
3547007,Santa Maria da Serra,6298,10,10,0,0,1,2,4,1,1,0,0,1,0,0,0,16.0,Baixa
3547106,Santa Mercedes,2947,558,555,3,17,12,148,271,86,16,1,1,0,0,2,4,1893.0,Alta
3547205,Santana da Ponte Pensa,1448,133,131,2,3,12,48,59,10,1,0,0,0,0,0,0,919.0,Alta
3547304,Santana de Parnaíba,145073,133,120,13,2,5,18,42,41,13,6,0,3,1,1,1,9.0,Baixa
3547403,Santa Rita d'Oeste,2476,218,157,61,15,32,65,61,27,14,4,0,0,0,0,0,880.0,Alta
3547502,Santa Rita do Passa Quatro,27641,769,763,6,2,5,72,262,365,43,9,5,3,0,2,1,278.0,Média
3547601,Santa Rosa de Viterbo,26960,258,258,0,1,14,86,85,59,5,4,1,0,2,1,0,96.0,Baixa
3547650,Santa Salete,1558,308,281,27,15,56,162,60,10,3,1,1,0,0,0,0,1977.0,Alta
3547700,Santo Anastácio,20855,149,146,3,2,2,13,48,24,4,16,12,4,1,9,14,71.0,Baixa
3547809,Santo André,723889,156,89,67,4,5,15,45,47,12,7,6,2,3,6,4,2.0,Baixa
3547908,Santo Antônio da Alegria,7024,31,30,1,0,1,0,9,17,4,0,0,0,0,0,0,44.0,Baixa
3548005,Santo Antônio de Posse,23742,186,177,9,0,0,5,44,100,32,3,0,1,0,1,0,78.0,Baixa
3548054,Santo Antônio do Aracanguá,8541,368,368,0,41,119,202,4,1,0,1,0,0,0,0,0,431.0,Alta
3548104,Santo Antônio do Jardim,5926,2,2,0,0,0,0,2,0,0,0,0,0,0,0,0,3.0,Baixa
3548203,Santo Antônio do Pinhal,6843,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1.0,Baixa
3548302,Santo Expedito,3159,232,225,7,0,0,6,76,125,13,1,0,0,0,0,11,734.0,Alta
3548401,Santópolis do Aguapeí,4856,174,174,0,27,30,39,35,23,9,9,0,0,0,2,0,358.0,Alta
3548500,Santos,433991,393,383,10,17,22,37,35,75,46,30,26,25,32,36,12,9.0,Baixa
3548609,São Bento do Sapucaí,10907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,Baixa
3548708,São Bernardo do Campo,849874,169,113,56,3,2,25,52,66,6,7,0,3,2,1,2,2.0,Baixa
3548807,São Caetano do Sul,162763,99,21,78,0,4,13,28,39,6,3,2,3,0,1,0,6.0,Baixa
3548906,São Carlos,256915,2138,2097,41,15,37,437,978,482,90,28,18,26,10,10,7,83.0,Baixa
3549003,São Francisco,2813,373,237,136,14,52,159,108,32,7,1,0,0,0,0,0,1326.0,Alta
3549102,São João da Boa Vista,92315,81,78,3,4,5,3,17,19,4,12,9,1,1,3,3,9.0,Baixa
3549201,São João das Duas Pontes,2555,66,53,13,0,0,5,37,20,1,2,0,1,0,0,0,258.0,Média
3549250,São João de Iracema,1942,201,179,22,98,56,29,15,2,0,0,0,0,0,1,0,1035.0,Alta
3549300,São João do Pau d'Alho,2095,190,190,0,1,0,24,81,59,12,3,4,1,1,0,4,907.0,Alta
3549409,São Joaquim da Barra,52737,27,26,1,0,0,3,4,11,2,2,0,0,1,1,3,5.0,Baixa
3549508,São José da Bela Vista,8991,10,10,0,0,0,1,4,3,2,0,0,0,0,0,0,11.0,Baixa
3549607,São José do Barreiro,4141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,Baixa
3549706,São José do Rio Pardo,55298,413,249,164,1,2,18,111,176,33,32,14,17,4,0,5,75.0,Baixa
3549805,São José do Rio Preto,469173,20313,20267,46,1036,1358,3375,5134,4176,1608,842,555,529,627,518,555,433.0,Alta
3549904,São José dos Campos,737310,1698,1546,152,23,45,243,630,431,128,52,27,38,27,35,19,23.0,Baixa
3549953,São Lourenço da Serra,16127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,Baixa
3550001,São Luiz do Paraitinga,10693,7,2,5,0,0,0,1,3,0,1,1,0,0,0,1,7.0,Baixa
3550100,São Manuel,41287,109,106,3,0,0,15,36,47,11,0,0,0,0,0,0,26.0,Baixa
3550209,São Miguel Arcanjo,33071,2,0,2,0,0,0,1,1,0,0,0,0,0,0,0,1.0,Baixa
3550308,São Paulo,12396372,11947,11599,348,238,291,1384,4333,4057,590,320,129,102,177,133,193,10.0,Baixa
3550407,São Pedro,36298,267,262,5,1,6,24,120,90,17,4,4,0,1,0,0,74.0,Baixa
3550506,São Pedro do Turvo,7724,143,141,2,0,0,3,32,61,36,4,5,1,0,0,1,185.0,Média
3550605,São Roque,93076,38,33,5,0,0,7,15,11,4,0,0,0,0,0,1,4.0,Baixa
3550704,São Sebastião,91637,1098,1095,3,32,31,222,344,244,116,32,10,7,30,23,7,120.0,Média
3550803,São Sebastião da Grama,12137,3,2,1,0,0,1,1,0,1,0,0,0,0,0,0,2.0,Baixa
3550902,São Simão,15446,20,19,1,0,0,1,8,9,0,0,0,0,1,0,1,13.0,Baixa
3551009,São Vicente,370839,174,173,1,8,19,10,13,39,16,21,6,5,8,19,10,5.0,Baixa
3551108,Sarapuí,10493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,Baixa
3551207,Sarutaiá,3623,66,64,2,0,0,4,34,24,1,1,0,1,1,0,0,182.0,Média
3551306,Sebastianópolis do Sul,3595,124,124,0,52,42,2,28,0,0,0,0,0,0,0,0,345.0,Alta
3551405,Serra Azul,15292,136,134,2,0,0,8,51,57,18,2,0,0,0,0,0,89.0,Baixa
3551504,Serrana,46166,54,54,0,0,1,7,25,11,3,3,4,0,0,0,0,12.0,Baixa
3551603,Serra Negra,29669,17,15,2,0,0,1,7,9,0,0,0,0,0,0,0,6.0,Baixa
3551702,Sertãozinho,128432,3362,3195,167,83,224,1243,1075,632,93,3,3,2,3,1,0,262.0,Média
3551801,Sete Barras,12731,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,Baixa
3551900,Severínia,17820,323,311,12,4,38,179,87,13,1,1,0,0,0,0,0,181.0,Média
3552007,Silveiras,6375,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,2.0,Baixa
3552106,Socorro,41690,44,44,0,0,1,5,16,18,3,1,0,0,0,0,0,11.0,Baixa
3552205,Sorocaba,695328,1102,983,119,14,15,122,413,413,77,29,2,1,2,4,10,16.0,Baixa
3552304,Sud Mennucci,7738,154,152,2,8,16,16,54,45,10,1,0,1,0,2,1,199.0,Média
3552403,Sumaré,289875,1008,1002,6,20,21,171,377,269,74,31,11,10,9,4,11,35.0,Baixa
3552502,Suzano,303397,448,443,5,0,3,19,131,238,38,14,2,0,1,1,1,15.0,Baixa
3552551,Suzanápolis,4063,345,339,6,88,177,67,7,4,0,0,0,0,0,1,1,849.0,Alta
3552601,Tabapuã,12561,203,203,0,7,12,32,66,60,21,1,2,0,0,0,2,162.0,Média
3552700,Tabatinga,16787,100,97,3,0,0,2,21,43,9,3,3,2,0,6,11,60.0,Baixa
3552809,Taboão da Serra,297528,78,54,24,1,7,6,26,23,6,6,1,0,2,0,0,3.0,Baixa
3552908,Taciba,6371,114,110,4,0,0,1,50,52,8,3,0,0,0,0,0,179.0,Média
3553005,Taguaí,14415,3,1,2,0,0,0,1,0,1,1,0,0,0,0,0,2.0,Baixa
3553104,Taiaçu,6346,8,7,1,0,2,2,0,1,3,0,0,0,0,0,0,13.0,Baixa
3553203,Taiúva,5562,53,50,3,0,3,7,19,20,2,1,1,0,0,0,0,95.0,Baixa
3553302,Tambaú,23255,23,23,0,0,2,0,8,10,1,0,1,0,0,0,1,10.0,Baixa
3553401,Tanabi,26231,1597,1596,1,425,440,507,151,41,7,4,4,1,2,9,6,609.0,Alta
3553500,Tapiraí,7725,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1.0,Baixa
3553609,Tapiratiba,12940,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1.0,Baixa
3553658,Taquaral,2815,222,221,1,2,23,92,91,14,0,0,0,0,0,0,0,789.0,Alta
3553708,Taquaritinga,57547,558,544,14,0,0,6,29,65,43,13,17,4,16,135,230,97.0,Baixa
3553807,Taquarituba,23292,10,1,9,0,0,1,5,3,0,1,0,0,0,0,0,4.0,Baixa
3553856,Taquarivaí,5968,8,4,4,0,0,0,2,4,1,1,0,0,0,0,0,13.0,Baixa
3553906,Tarabai,7609,224,190,34,3,0,1,10,20,24,41,24,19,10,24,48,294.0,Média
3553955,Tarumã,15361,92,90,2,0,3,66,12,7,0,0,0,0,0,0,4,60.0,Baixa
3554003,Tatuí,124134,24,11,13,0,2,2,6,3,3,2,1,1,0,2,2,2.0,Baixa
3554102,Taubaté,320820,1540,1536,4,4,11,144,480,630,179,61,7,4,11,5,4,48.0,Baixa
3554201,Tejupá,4452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,Baixa
3554300,Teodoro Sampaio,23395,3627,3521,106,13,32,621,1611,1030,216,64,21,2,4,4,9,1550.0,Alta
3554409,Terra Roxa,9502,122,119,3,0,0,29,50,39,3,1,0,0,0,0,0,128.0,Média
3554508,Tietê,42946,283,265,18,4,13,59,80,92,24,2,3,1,2,1,2,66.0,Baixa
3554607,Timburi,2647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,Baixa
3554656,Torre de Pedra,2432,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,4.0,Baixa
3554706,Torrinha,10100,12,1,11,0,0,1,3,7,1,0,0,0,0,0,0,12.0,Baixa
3554755,Trabiju,1752,18,13,5,0,0,5,8,5,0,0,0,0,0,0,0,103.0,Média
3554805,Tremembé,48228,286,279,7,1,0,24,119,122,5,4,1,1,1,2,6,59.0,Baixa
3554904,Três Fronteiras,5856,296,288,8,26,115,113,37,5,0,0,0,0,0,0,0,505.0,Alta
3554953,Tuiuti,7058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,Baixa
3555000,Tupã,65615,3095,3095,0,6,28,300,1027,1213,337,98,34,11,16,11,14,472.0,Alta
3555109,Tupi Paulista,15670,1309,1301,8,18,105,409,415,201,32,12,7,7,10,23,70,835.0,Alta
3555208,Turiúba,2024,45,45,0,10,10,12,10,3,0,0,0,0,0,0,0,222.0,Média
3555307,Turmalina,1667,106,104,2,4,21,52,23,4,1,1,0,0,0,0,0,636.0,Alta
3555356,Ubarana,6488,544,544,0,2,4,93,195,213,30,6,0,0,0,0,1,838.0,Alta
3555406,Ubatuba,92819,169,167,2,3,1,2,19,89,20,13,4,4,3,6,5,18.0,Baixa
3555505,Ubirajara,4828,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0,4.0,Baixa
3555604,Uchoa,10191,279,279,0,1,0,15,75,123,40,11,4,2,4,4,0,274.0,Média
3555703,União Paulista,1886,52,52,0,14,7,10,15,5,0,0,1,0,0,0,0,276.0,Média
3555802,Urânia,9125,1659,1653,6,31,153,599,511,224,80,58,2,0,1,0,0,1818.0,Alta
3555901,Uru,1142,3,0,3,0,0,0,2,0,0,0,0,0,0,0,1,26.0,Baixa
3556008,Urupês,13965,86,69,17,1,1,4,29,26,13,5,2,2,3,0,0,62.0,Baixa
3556107,Valentim Gentil,13732,241,241,0,8,17,44,69,68,22,8,5,0,0,0,0,176.0,Média
3556206,Valinhos,133169,1129,1096,33,4,14,234,440,360,49,13,5,3,2,2,3,85.0,Baixa
3556305,Valparaíso,27154,271,263,8,1,13,34,94,74,19,16,10,4,1,1,4,100.0,Média
3556354,Vargem,10842,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,Baixa
3556404,Vargem Grande do Sul,43368,9,9,0,0,0,1,1,3,1,0,1,0,0,1,1,2.0,Baixa
3556453,Vargem Grande Paulista,54315,14,13,1,0,0,0,3,7,4,0,0,0,0,0,0,3.0,Baixa
3556503,Várzea Paulista,124269,767,759,8,7,7,119,338,225,42,4,3,2,4,7,9,62.0,Baixa
3556602,Vera Cruz,10804,1104,1098,6,1,9,258,530,289,14,2,1,0,0,0,0,1022.0,Alta
3556701,Vinhedo,81516,221,217,4,1,3,38,83,76,15,0,2,0,2,0,1,27.0,Baixa
3556800,Viradouro,19133,304,304,0,0,0,6,87,115,38,19,12,6,7,8,6,159.0,Média
3556909,Vista Alegre do Alto,9163,146,143,3,2,5,21,59,45,4,6,0,0,4,0,0,159.0,Média
3556958,Vitória Brasil,1852,83,82,1,24,11,14,24,9,1,0,0,0,0,0,0,448.0,Alta
3557006,Votorantim,124468,660,656,4,0,7,66,224,249,61,21,15,4,1,2,10,53.0,Baixa
3557105,Votuporanga,96106,10053,10052,1,586,1292,2831,3103,1271,356,143,81,90,148,85,67,1046.0,Alta
3557154,Zacarias,2784,120,119,1,2,15,98,2,0,0,1,0,0,1,0,1,431.0,Alta
3557204,Chavantes,12418,113,99,14,0,0,14,26,54,14,3,2,0,0,0,0,91.0,Baixa
