CD_MUN,NM_MUN_x,População_total_2021,Total_confirmados_anual,Total_confirmados_autóctones,Total_confirmados_importados,Janeiro_confirmados_total,Fevereiro_confirmados_total,Março_confirmados_total,Abril_confirmados_total,Maio_confirmados_total,Junho_confirmados_total,Julho_confirmados_total,Agosto_confirmados_total,Setembro_confirmados_total,Outubro_confirmados_total,Novembro_confirmados_total,Dezembro_confirmados_total,Taxa_incidência_mil,Classificação_incidência
3507407,Borborema,16278,1533,1528,5,4,28,247,641,493,91,4,7,2,6,4,6,942.0,Alta
3507456,Borebi,2713,167,133,34,1,2,32,92,29,2,3,4,1,0,1,0,616.0,Alta
3507506,Botucatu,149718,272,244,28,2,1,50,92,77,16,15,3,4,3,2,7,18.0,Baixa
3507605,Bragança Paulista,172346,251,234,17,1,1,14,95,85,24,16,2,6,4,3,0,15.0,Baixa
3507704,Braúna,5795,295,295,0,27,80,104,53,27,2,1,0,1,0,0,0,509.0,Alta
3507753,Brejo Alegre,2911,147,146,1,2,7,67,68,1,1,1,0,0,0,0,0,505.0,Alta
3507803,Brodowski,25605,66,64,2,0,0,9,34,8,7,2,2,2,2,0,0,26.0,Baixa
3507902,Brotas,24862,345,321,24,0,2,15,121,114,48,21,4,6,9,4,1,139.0,Média
3508009,Buri,20050,4,3,1,1,1,0,1,0,1,0,0,0,0,0,0,2.0,Baixa
3508108,Buritama,17414,1657,1654,3,471,474,401,178,73,15,13,20,4,6,1,1,952.0,Alta
3508207,Buritizal,4547,44,43,1,1,4,9,13,15,0,2,0,0,0,0,0,97.0,Baixa
3508306,Cabrália Paulista,4222,45,43,2,0,0,6,23,14,2,0,0,0,0,0,0,107.0,Média
3508405,Cabreúva,51130,35,33,2,2,0,1,11,7,6,2,4,0,0,0,2,7.0,Baixa
3508504,Caçapava,95752,101,92,9,1,1,8,28,42,13,4,1,2,0,1,0,11.0,Baixa
3508603,Cachoeira Paulista,33827,15,15,0,1,0,2,4,3,1,1,2,1,0,0,0,4.0,Baixa
3508702,Caconde,19031,5,5,0,1,0,0,1,1,1,0,0,0,0,1,0,3.0,Baixa
3508801,Cafelândia,17917,80,79,1,3,0,15,30,26,5,0,1,0,0,0,0,45.0,Baixa
3508900,Caiabu,4195,66,40,26,0,0,0,12,26,3,6,2,5,6,6,0,157.0,Média
3509007,Caieiras,104044,82,80,2,0,0,14,42,22,1,1,0,0,0,1,1,8.0,Baixa
3509106,Caiuá,6017,48,47,1,0,0,4,11,21,8,1,3,0,0,0,0,80.0,Baixa
3509205,Cajamar,79034,139,48,91,1,5,17,36,51,17,6,2,0,3,1,0,18.0,Baixa
3509254,Cajati,28441,3,3,0,1,0,1,0,1,0,0,0,0,0,0,0,1.0,Baixa
3509304,Cajobi,10649,234,231,3,2,1,24,68,88,27,5,6,4,3,5,1,220.0,Média
3509403,Cajuru,26613,3,3,0,1,0,1,0,1,0,0,0,0,0,0,0,1.0,Baixa
3509452,Campina do Monte Alegre,6088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,Baixa
3509502,Campinas,1223237,11275,11241,34,57,145,1167,4243,3757,1057,363,200,102,73,45,66,92.0,Baixa
3509601,Campo Limpo Paulista,86407,106,102,4,3,3,9,36,36,8,4,2,0,2,1,2,12.0,Baixa
3509700,Campos do Jordão,52713,4,0,4,1,1,1,1,0,0,0,0,0,0,0,0,1.0,Baixa
